Code,X,Y
1919.8333,1.159015373,0.082557912
1919.91663,1.199901105,0.08897246
1920,1.219739786,0.090868349
1920.08333,1.304301556,0.105441396
1920.16666,1.241882377,0.102319971
1920.24999,1.274967678,0.109157603
1920.33332,1.348998576,0.109430739
1920.41665,1.376328189,0.10041698
1920.49998,1.366428991,0.098367586
1920.58331,1.376320268,0.100961438
1920.66664,1.320057283,0.097331054
1920.74997,1.308685382,0.082455047
1920.8333,1.348698044,0.080116891
1920.91663,1.417388822,0.082638087
1921,1.346704485,0.081291333
1921.08333,1.315861993,0.09015773
1921.16666,1.345006555,0.09533476
1921.24999,1.336057625,0.08561812
1921.33332,1.293427163,0.073276805
1921.41665,1.377826316,0.079191844
1921.49998,1.396263892,0.083487245
1921.58331,1.416671098,0.082478082
1921.66664,1.389924944,0.064804012
1921.74997,1.386742462,0.05002798
1921.8333,1.336361992,0.047068297
1921.91663,1.306843829,0.023883275
1922,1.291446106,0.023506255
1922.08333,1.280925845,0.020578004
1922.16666,1.226695691,0.017251118
1922.24999,1.16047599,-0.015821524
1922.33332,1.115083192,-0.032305449
1922.41665,1.119043594,-0.045251529
1922.49998,1.113766536,-0.040778608
1922.58331,1.057664222,-0.003746206
1922.66664,1.024661329,0.002915403
1922.74997,1.005499066,-0.014065304
1922.8333,1.057854296,-0.010033041
1922.91663,1.060565341,-0.01320967
1923,1.034680201,-0.010742462
1923.08333,0.989108767,-0.027257011
1923.16666,0.973972812,-0.028739316
1923.24999,1.019578397,-0.014837528
1923.33332,1.071775635,0.015377151
1923.41665,1.11858441,0.03501283
1923.49998,1.165906604,0.046168807
1923.58331,1.160836689,0.040623783
1923.66664,1.165303525,0.039061646
1923.74997,1.189044784,0.030312027
1923.8333,1.162926835,0.029752207
1923.91663,1.136342194,0.028359525
1924,1.108471734,0.03069587
1924.08333,1.104743043,0.037193716
1924.16666,1.122011937,0.033691169
1924.24999,1.142012604,0.037478961
1924.33332,1.149516185,0.02694902
1924.41665,1.135706864,0.026153614
1924.49998,1.098040452,0.016661339
1924.58331,1.063306923,0.009300229
1924.66664,1.084555549,0.007659196
1924.74997,1.105920932,0.009660231
1924.8333,1.056705762,0.006990116
1924.91663,1.015671937,0.002250744
1925,0.978240606,-0.001835755
1925.08333,0.969064068,-0.005685123
1925.16666,1.003702189,-0.009420777
1925.24999,1.013121067,-0.001091121
1925.33332,0.989705867,0.003325073
1925.41665,0.987786734,0.005282242
1925.49998,0.974227095,0.00772422
1925.58331,0.964570151,0.012899347
1925.66664,0.942798992,0.012760937
1925.74997,0.913973419,0.012120731
1925.8333,0.903601581,0.018003447
1925.91663,0.882698811,0.016444222
1926,0.87120743,0.020275229
1926.08333,0.869521656,0.02590673
1926.16666,0.939265134,0.035214469
1926.24999,0.976890354,0.038342803
1926.33332,0.965270914,0.032369866
1926.41665,0.916690812,0.032079031
1926.49998,0.86702925,0.033897286
1926.58331,0.824625824,0.032274762
1926.66664,0.81732361,0.03209912
1926.74997,0.846683049,0.03966613
1926.8333,0.840246778,0.041226113
1926.91663,0.815676462,0.037542905
1927,0.810798475,0.041491168
1927.08333,0.786926133,0.042361838
1927.16666,0.758001485,0.040612915
1927.24999,0.725740623,0.03195595
1927.33332,0.691149178,0.023958804
1927.41665,0.683181008,0.01884603
1927.49998,0.637924417,0.022424537
1927.58331,0.574255426,0.018339643
1927.66664,0.52187646,-0.002381321
1927.74997,0.537713895,-0.016431298
1927.8333,0.504629857,-0.027706011
1927.91663,0.476351736,-0.031437074
1928,0.467809239,-0.029041753
1928.08333,0.464624523,-0.030306628
1928.16666,0.403482076,-0.042372336
1928.24999,0.330467104,-0.052596998
1928.33332,0.298109584,-0.054698184
1928.41665,0.335302121,-0.047311335
1928.49998,0.321373991,-0.030021739
1928.58331,0.283828175,-0.032839756
1928.66664,0.219774234,-0.044291915
1928.74997,0.189155253,-0.03588419
1928.8333,0.120207973,-0.042593607
1928.91663,0.104605245,-0.046026663
1929,0.031011938,-0.054848965
